dia,mes,logradouro,cidade,uf
6,1,Rua 6 de janeiro,Salvador,BA
6,1,Rua Seis de Janeiro,Salvador,BA
6,1,Travessa Seis de Janeiro,Salvador,BA
6,1,Travessa Seis de Janeiro,Fortaleza,CE
6,1,Rua Seis de Janeiro,Marco,CE
6,1,Rua 6 de Janeiro,Vila Velha,ES
6,1,Rua 6 de Janeiro,Jussara,GO
6,1,Rua 6 de Janeiro,Benedito Leite,MA
6,1,Rua Seis de Janeiro,São Luís,MA
6,1,Travessa Seis de Janeiro,São Luís,MA
6,1,Rua Seis de Janeiro,Ipatinga,MG
6,1,Travessa 6 de Janeiro,Manga,MG
6,1,Rua Seis de Janeiro,Montes Claros,MG
6,1,Rua Seis de Janeiro,Timóteo,MG
6,1,Seis de Janeiro,Cuiabá,MT
6,1,Passagem Seis de Janeiro,Belém,PA
6,1,Travessa Seis de Janeiro,Mojuí dos Campos,PA
6,1,Seis de Janeiro,Arcoverde,PE
6,1,Rua Seis de Janeiro,Camaragibe,PE
6,1,Rua Seis de Janeiro,Escada,PE
6,1,1ª Travessa Seis de Janeiro,Olinda,PE
6,1,2ª Travessa Seis de Janeiro,Olinda,PE
6,1,3ª Travessa Seis de Janeiro,Olinda,PE
6,1,Rua Alto Seis de Janeiro,Olinda,PE
6,1,Rua Seis de Janeiro,Olinda,PE
6,1,Rua seis de janeiro,São José do Egito,PE
6,1,Rua 6 de Janeiro,Maringá,PR
6,1,Rua Seis de Janeiro,Angra dos Reis,RJ
6,1,Travessa Seis de Janeiro,Angra dos Reis,RJ
6,1,Rua Seis de Janeiro,Queimados,RJ
6,1,Rua Seis de Janeiro,Rio de Janeiro,RJ
6,1,Viela 6 de Janeiro,Ceará-Mirim,RN
6,1,Rua 6 de Janeiro,Macaíba,RN
6,1,Rua Seis de Janeiro,Mossoró,RN
6,1,Rua Seis de Janeiro,Parnamirim,RN
6,1,Rua 6 de Janeiro,Balneário Arroio do Silva,SC
6,1,Rua Seis de Janeiro,Blumenau,SC
6,1,Rua Seis de Janeiro,Criciúma,SC
6,1,Rua 6 de Janeiro,Indaial,SC
6,1,Rua Seis de Janeiro,Joinville,SC
6,1,Passagem Seis de Janeiro,Diadema,SP
6,1,Rua Seis de Janeiro,Mogi Mirim,SP
6,1,Rua 6 de Janeiro,Morro Agudo,SP
6,1,Rua 6 de Janeiro,Sud Mennucci,SP
6,1,Rua Seis de Janeiro,São Paulo,SP
7,1,1ª Avenida 7 de Janeiro,Salvador,BA
7,1,1ª Travessa 7 de Janeiro,Salvador,BA
7,1,2ª Avenida 7 de Janeiro,Salvador,BA
7,1,2ª Travessa 7 de Janeiro,Salvador,BA
7,1,3ª Avenida 7 de Janeiro,Salvador,BA
7,1,3ª Travessa 7 de Janeiro,Salvador,BA
7,1,4ª Avenida 7 de Janeiro,Salvador,BA
7,1,7 de Janeiro,Salvador,BA
7,1,Avenida Sete de Janeiro,Salvador,BA
7,1,Rua Sete de Janeiro,Salvador,BA
7,1,Travessa 7 de Janeiro,Salvador,BA
7,1,Sete de Janeiro,Fortaleza,CE
7,1,Rua Sete de Janeiro,Goiânia,GO
7,1,Rua Sete de Janeiro,Araxá,MG
7,1,Rua 7 de Janeiro,Barcarena,PA
7,1,Rua Sete de Janeiro,Cametá,PA
7,1,Avenida Sete de Janeiro,Santa Izabel do Pará,PA
7,1,Rua Sete de Janeiro,São Miguel do Guamá,PA
